date,spend,sales,installation
2022-04-28,124667.44567823691,424.0,8478.0
2022-04-29,61444.57443800631,107.0,5125.0
2022-04-30,67023.0993859815,248.0,8599.0
2022-05-01,64826.59402024261,179.0,6365.0
2022-05-02,76599.85038324841,145.0,5725.0
2022-05-03,100157.54983434452,154.0,8278.0
2022-05-04,94914.495515553,118.0,5131.0
2022-05-05,96628.35082950043,664.0,9804.0
2022-05-06,48130.91207396781,147.0,4563.0
2022-05-07,51385.54682689491,182.0,5560.0
2022-05-08,51855.92275321381,280.0,7640.0
2022-05-09,47963.427730835014,90.0,4229.0
2022-05-10,47048.133968538714,98.0,4138.0
2022-05-11,47817.35602943981,81.0,4403.0
2022-05-12,40604.42492950371,84.0,3882.0
2022-05-13,30151.880057598508,117.0,4259.0
2022-05-14,40458.57540164271,331.0,9190.0
2022-05-15,141073.2244106285,153.0,6086.0
2022-05-16,135802.77947600908,117.0,4734.0
2022-05-17,129812.82136096038,153.0,5070.0
2022-05-18,138862.52223966515,2361.0,25595.0
2022-05-19,40281.011871714174,111.0,5238.0
2022-05-20,39199.94805587287,86.0,4202.0
2022-05-21,43554.04033014587,221.0,5533.0
2022-05-22,85654.31886725337,206.0,7826.0
2022-05-23,259188.41720134264,206.0,13107.0
2022-05-24,264947.7911568172,260.0,9428.0
2022-05-25,314605.5690933103,1839.0,23112.0
2022-05-26,360688.1064688426,377.0,12667.0
2022-05-27,388872.3123900983,1468.0,22763.0
2022-05-28,583445.1471358151,33373.0,150111.0
2022-05-29,55282.51601902501,354.0,19949.0
2022-05-30,38251.30742385411,132.0,8432.0
2022-05-31,38897.12436423881,130.0,7282.0
2022-06-01,96413.99380272531,108.0,5491.0
2022-06-02,96514.90333627262,142.0,5021.0
2022-06-03,95120.13727998191,90.0,3985.0
2022-06-04,102264.46753785001,139.0,5201.0
2022-06-05,95038.27489282492,159.0,4566.0
2022-06-06,132856.0801902603,121.0,5350.0
2022-06-07,132364.0910587403,101.0,5593.0
2022-06-08,138898.9735940879,104.0,6046.0
2022-06-09,131811.48091786902,154.0,7454.0
2022-06-10,187887.6451706963,122.0,8370.0
2022-06-11,210510.092336516,128.0,10580.0
2022-06-12,245832.5569689965,127.0,6807.0
2022-06-13,275616.1847916612,156.0,6055.0
2022-06-14,234550.4762668684,160.0,10371.0
2022-06-15,246316.8281918453,216.0,7870.0
2022-06-16,280981.4710407158,344.0,9590.0
